Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight in g,Battery,Recharge power,Display,Camera,Fingerprint sensor,Facial recognition
Huawei NaNva 5i Pro,HiSilicon Kirin 810,Octa-core 2.7Â GHz (2x 2.7Â GHz Cortex-A76 + 6x 1.9Â GHz Cortex-A55),Mali-G52 MP6,128 or 256 GB,microSD up to 512 GB,6/8 GB,Android 9.0,EMUI 9.1,156.1 x 73.9 x 8.3Â mm,178,4000 mAh,USB-C 20W,"6.3"" 2340x1080 OLED",Quad 48 MP + 8 MP + 2x 2 MP (rear camera) 32 MP (front camera),Rear-mounted,Yes
Huawei NaNva 5 Pro,HiSilicon Kirin 980,Octa-core 2.6Â GHz (2x 2.6Â GHz Cortex-A76 + 2x 1.92Â GHz Cortex-A76 + 4x 1.8Â GHz Cortex-A55),Mali-G76 MP10,128 or 256 GB,up to 256 GB,8 GB,Android 9.0,EMUI 9.1,157.4 x 74.8 x 7.3Â mm,171,3500 mAh,USB-C 40W,6.4â€ 2340x1080 OLED,Quad 48 MP + 16 MP + 2x 2 MP (rear camera) 32 MP (front camera),Under screen,Yes
HoNaNr 20,HiSilicon Kirin 980,Octa-core 2.6Â GHz (2x 2.6Â GHz Cortex-A76 + 2x 1.92Â GHz Cortex-A76 + 4x 1.8Â GHz Cortex-A55),Mali-G76 MP10,128Â GB,NaN,6/8Â GB,Android 9.0,Magic 2.1,154.3 x 74 x 7.9Â mm,174,3750 mAh,USB-C 22.5W,"6.3"" 2340x1080 IPS LCD",Quad 48 MP + 16 MP + 2x 2 MP (rear) 32 MP (front),Side-mounted,Yes
HoNaNr 20 Pro,HiSilicon Kirin 980,Octa-core 2.6Â GHz (2x 2.6Â GHz Cortex-A76 + 2x 1.92Â GHz Cortex-A76 + 4x 1.8Â GHz Cortex-A55),Mali-G76 MP10,128 or 256Â GB,NaN,8Â GB,Android 9.0,Magic 2.1,154.6 x 74 x 8.4Â mm,182,4000 mAh,USB-C 22.5W,"6.3"" 2340x1080 IPS LCD",Quad 48 MP + 16 MP + 8 MP + 2 MP (rear) 32 MP (front),Side-mounted,Yes
HoNaNr 20S,HiSilicon Kirin 810,Octa-core 2.3Â GHz (2x 2.3Â GHz Cortex-A76 + 6x 1.9Â GHz Cortex-A55),Mali-G52 MP6,128 GB,NaN,6/8 GB,Android 9.0,Magic 2.1,154.3 x 74 x 7.9Â mm,172,3750 mAh,USB-C 20W,"6.3"" 2340x1080 IPS LCD",Triple 48 MP + 8 MP + 2 MP (rear) 32 MP (front),Side-mounted,Yes
HoNaNr V30,HiSilicon Kirin 990,Octa-core2.86Â GHz (2x2.86Â GHz Cortex-A76 + 2x2.09Â GHz or 2x2.36Â GHz (5G) Cortex-A76 + 4x1.86Â GHz or 2x1.95Â GHz (5G) Cortex-A55),Mali-G76 MP16,128 GB,NaN,6/8 GB,Android 10,Magic UI 3,162.7 x 75.8 x 8.9 mm,213,4200mAh,USB-C 40W,"6.6"" 2400x1080 IPS LCD",Triple 40 MP + 2x 8 MP (rear) Dual 32 MP + 8 MP (front),Side-mounted,Yes
HoNaNr V30 Pro,HiSilicon Kirin 990,Octa-core2.86Â GHz (2x2.86Â GHz Cortex-A76 + 2x2.09Â GHz or 2x2.36Â GHz (5G) Cortex-A76 + 4x1.86Â GHz or 2x1.95Â GHz (5G) Cortex-A55),Mali-G76 MP16,128 or 256 GB,NaN,8 GB,Android 10,Magic UI 3,162.7 x 75.8 x 8.9 mm,206,4100mAh,USB-C 40W,"6.6"" 2400x1080 IPS LCD",Triple 40 MP + 12 MP + 8 MP (rear) Dual 32 MP + 8 MP (rear),Side-mounted,Yes
Huawei NaNva 6,HiSilicon Kirin 990,Octa-core2.86Â GHz (2x2.86Â GHz Cortex-A76 + 2x2.09Â GHz or 2x2.36Â GHz (5G) Cortex-A76 + 4x1.86Â GHz or 2x1.95Â GHz (5G) Cortex-A55),Mali-G76 MP16,128 GB,NaN,8 GB,Android 10,EMUI 10,162.6 x 75.7 x 8.6 mm,197,4100mAh,USB-C 40W,"6.6"" 2400x1080 IPS LCD",Triple 40 MP + 2x 8 MP (rear) Dual 32 MP + 8 MP (front),Side-mounted,Yes
Huawei NaNva 6 5G,HiSilicon Kirin 990,Octa-core2.86Â GHz (2x2.86Â GHz Cortex-A76 + 2x2.09Â GHz or 2x2.36Â GHz (5G) Cortex-A76 + 4x1.86Â GHz or 2x1.95Â GHz (5G) Cortex-A55),Mali-G76 MP16,128 or 256 GB,NaN,8 GB,Android 10,EMUI 10,162.7 x 75.8 x 9 mm,212,4200 mAh,USB-C 40W,"6.6"" 2400x1080 IPS LCD",Triple 40 MP + 2x 8 MP (rear) Dual 32 MP + 8 MP (front),Side-mounted,Yes
Apple iPhone 11,Apple A13,Hexa-core2.65Â GHz (2x2.65Â GHz Lightning + 4x? GHz Thunder),Apple-designed GPU,64/128/256 GB,NaN,4 GB,iOS 13,,150.9 x 75.7 x 8.3Â mm,194,3110 mAh,Lightning 18WWireless,"6.1"" 1792x828 IPS LCD",Dual 12 MP (rear camera) 12 MP (front camera),NaN,Face ID
